model,valid,direct_match_count,subtype_count,generic_count,unrelated_count,insufficient_evidence_count,direct_match_rate,subtype_rate,generic_rate,unrelated_rate,insufficient_evidence_rate
GPT-OSS,11779,2945,3219,278,5130,207,0.2500212242125817,0.2732829612021394,0.0236013243908651,0.43552084217675524,0.017573648017658546
GPT-4.1-mini,11779,3026,1305,1301,4216,1931,0.2568978690890568,0.110790389676543,0.11045080227523559,0.3579251209780117,0.1639358179811529
Gemma4,11756,1448,1039,4377,4694,198,0.1231711466485199,0.08838040149710787,0.3723205171827152,0.39928547124872404,0.016842463422932972
Gemini,11779,3030,3329,1363,4046,11,0.2572374564903642,0.2826216147380932,0.11571440699550047,0.34349265642244675,0.0009338653535953816
GPT-5.4-mini,11779,1751,1760,2809,4125,1334,0.1486543849223194,0.14941845657526107,0.2384752525681297,0.3501995075982681,0.11325239833602173
