model,positive,title_count,description_count,header_count,content_count,title_rate,description_rate,header_rate,content_rate
GPT-OSS,6164,4546,1208,139,271,0.7375081116158339,0.19597663854639844,0.02255029201817002,0.043964957819597666
GPT-4.1-mini,4331,3222,920,54,135,0.7439390441006696,0.21242207342415145,0.012468252135765412,0.03117063033941353
Gemma4,2487,1993,365,18,111,0.8013671089666264,0.1467631684760756,0.007237635705669481,0.04463208685162847
Gemini,6359,4196,1516,268,379,0.6598521780154112,0.23840226450699795,0.04214499135084133,0.05960056612674949
GPT-5.4-mini,3511,2770,588,59,94,0.7889490173739675,0.16747365422956423,0.016804329250925662,0.02677299914554258
